rank,company_name,previous_rank,ceo,address,website,ticker,stock_price,stock_net_change,stock_percent_yield,stock_date,description,revenue_millions,revenue_percentchange_previous_year,profit_millions,profit_percentchange_previous_year,total_assets_millions,total_shareholder_equity_millions,market_value_03312014_millions,profit_percentsales,profit_percentassets,profit_percentstockholder_equity,earnings_per_share,eps_percentchange_from_2012,eps_percentchange_5_year,eps_percentchange_10_year,total_return_investors,total_annualized_return_investors_5_year,total_annualized_return_investors_10_year
285,Dean Foods Company,217,Gregg A. Tanner,"2711 N. Haskell Ave., Dallas, TX 75204",www.deanfoods.com,DF,18.72,0.31,0.0166,5/14/2015 15:59,,9963,-0.228,813,4.127,2802,714,1467,8.2,29,113.8,8.58,404.7,29,6.6,8.9,,-0.7
286,Cameron International Corporation,310,Jack B. Moore,"1333 W. Loop S., Houston, TX 77027",www.c-a-m.com,CAM,52.62,-0.31,-0.0058,5/14/2015 15:59,,9838,0.157,699,-0.068,14249,5852,13390,7.1,4.9,11.9,2.87,-5,2,24.8,5.4,23.8,17.7
287,MGM Resorts International,292,James J. Murren,"3600 Las Vegas Blvd. S., Las Vegas, NV 89109",www.mgmresorts.com,MGM,19.32,-0.04,-0.0021,5/14/2015 15:59,,9810,0.071,-157,,26110,4231,12682,-1.6,-0.6,-3.7,-0.32,,,,102.1,11.3,2.3
288,KKR & Co. L.P.,277,"Henry R. Kravis, George R. Roberts","9 W. 57th St., New York, NY 10019",www.kkr.com,KKR,22.92,0.15,0.0066,5/14/2015 15:59,,9759,0.002,691,0.232,51427,2722,6860,7.1,1.3,25.4,2.3,4.1,,,73.2,,
289,Hilton Worldwide Holdings Inc.,,Christopher J. Nassetta,"7930 Jones Branch Dr., McLean, VA 22102",www.hiltonworldwide.com,HLT,29.5,0.39,0.0134,5/14/2015 15:59,,9735,0.049,415,0.179,26562,4363,21897,4.3,1.6,9.5,0.45,,,,,,
290,DTE Energy Company,299,Gerard M. Anderson,"1 Energy Plaza, Detroit, MI 48226",www.dteenergy.com,DTE,78.09,0.9,0.0116,5/14/2015 15:59,,9661,0.092,661,0.084,25935,7921,13155,6.8,2.5,8.3,3.76,5.9,2.3,2,14.8,18.7,10.5
291,"Genworth Financial, Inc.",271,Thomas J. McInerney,"6620 W. Broad St., Richmond, VA 23230",www.genworth.com,GNW,7.98,-0.05,-0.0062,5/14/2015 15:59,,9614,-0.041,560,0.734,108045,14393,8782,5.8,0.5,3.9,1.12,72.3,,,106.8,40.6,
292,"Henry Schein, Inc.",296,Stanley M. Bergman,"135 Duryea Rd., Melville, NY 11747",www.henryschein.com,HSIC,140.29,2.37,0.0171,5/14/2015 15:59,,9561,0.069,432,0.112,5625,2785,10199,4.5,7.7,15.5,4.93,14.1,13,12.4,42.1,25.5,13
293,Rock-Tenn Company,291,Steven C. Voorhees,"504 Thrasher St., Norcross, GA 30071",www.rocktenn.com,RKT,64.62,0.5,0.0078,5/14/2015 15:59,,9545,0.037,727,1.92,10733,4312,7554,7.6,6.8,16.9,9.95,188.4,36,27.9,51.6,26.8,21.7
294,"WellCare Health Plans, Inc.",345,David J. Gallitano,"8725 Henderson Rd., Tampa, FL 33634",www.wellcare.com,WCG,82.57,0.51,0.0062,5/14/2015 15:59,,9528,0.286,175,-0.051,3451,1518,2780,1.8,5.1,11.5,3.98,-5.7,,,44.6,40.5,
295,"W.W. Grainger, Inc.",295,James T. Ryan,"100 Grainger Pkwy., Lake Forest, IL 60045",www.grainger.com,GWW,246.97,1.04,0.0042,5/14/2015 15:59,,9438,0.054,797,0.155,5266,3250,17382,8.4,15.1,24.5,11.13,16.9,13,16.3,28.1,28.7,20.3
296,Discover Financial Services,294,David W. Nelms,"2500 Lake Cook Rd., Riverwoods, IL 60015",www.discoverfinancial.com,DFS,60.36,0.64,0.0107,5/14/2015 15:59,,9370,0.043,2470,0.053,79340,10809,27401,26.4,3.1,22.9,4.96,11.2,20.9,,47.4,44,
297,Eastman Chemical Company,324,Mark J. Costa,"200 S. Wilcox Dr., Kingsport, TN 37660",www.eastman.com,EMN,78.2,-0.08,-0.001,5/14/2015 15:59,,9350,0.154,1165,1.666,11845,3796,13144,12.5,9.8,30.7,7.44,153.9,26.7,,20.1,42.3,18.6
298,"Principal Financial Group, Inc.",290,Larry D. Zimpleman,"711 High St., Des Moines, IA 50392",www.principal.com,PFG,51.98,0.33,0.0064,5/14/2015 15:59,,9290,0.008,913,0.133,208191,9684,13591,9.8,0.4,9.4,2.95,14.8,12.6,2.6,77.1,19.7,6.1
299,Reliance Steel & Aluminum Co.,313,David H. Hannah,"350 S. Grand Ave., Los Angeles, CA 90071",www.rsac.com,RS,65.87,-0.17,-0.0026,5/14/2015 15:59,,9224,0.093,322,-0.203,7341,3875,5481,3.5,4.4,8.3,4.14,-22.3,-8.8,22.7,24.3,32.4,17.6
300,"AutoZone, Inc.",306,William C. Rhodes III,"123 S. Front St., Memphis, TN 38103",www.autozone.com,AZO,681.8,1.44,0.0021,5/14/2015 15:59,,9148,0.063,1017,0.093,6892,-1687,17845,11.1,14.7,,27.79,18.4,22.6,17.9,34.8,27.9,18.8
301,Dover Corporation,308,Robert A. Livingston,"3005 Highland Pkwy., Downers Grove, IL 60515",www.dovercorporation.com,DOV,76.51,0.15,0.002,5/14/2015 16:00,,9123,0.068,1003,0.237,10838,5377,13899,11,9.3,18.7,5.78,31.1,13.1,14.9,49.5,26.8,11.5
302,"Micron Technology, Inc.",318,D. Mark Durcan,"8000 S. Federal Way, Boise, ID 83716",www.micron.com,MU,26.69,-0.5,-0.0184,5/14/2015 16:00,,9073,0.102,1190,,19118,9142,25100,13.1,6.2,13,1.13,,,,243.1,52.5,4.9
303,"Owens & Minor, Inc.",297,Craig R. Smith,"9120 Lockwood Blvd., Mechanicsville, VA 23116",www.owens-minor.com,OMI,33.65,0.37,0.011,5/14/2015 15:59,,9072,0.018,111,0.017,2324,1024,2210,1.2,4.8,10.8,1.76,2.3,3.2,6.4,31.9,10.7,12.1
304,"Assurant, Inc.",309,Robert B. Pollock,"1 Chase Manhattan Plaza, New York, NY 10005",www.assurant.com,AIZ,64.91,0.85,0.0133,5/14/2015 15:59,,9048,0.063,489,0.011,29715,4834,4653,5.4,1.6,10.1,6.3,11.1,10.8,,94.8,19.6,
305,GameStop Corp.,298,J. Paul Raines,"625 Westport Pkwy., Grapevine, TX 76051",www.gamestopcorp.com,GME,39.16,-0.04,-0.001,5/14/2015 15:59,,9040,0.017,354,,4091,2251,4739,3.9,8.7,15.7,2.99,,4.7,,102.1,19.4,
306,Stryker Corporation,305,Kevin A. Lobo,"2825 Airview Blvd., Kalamazoo, MI 49002",www.stryker.com,SYK,95.26,2.35,0.0253,5/14/2015 15:59,,9021,0.042,1006,-0.225,15743,9047,30785,11.2,6.4,11.1,2.63,-22.4,-1.1,9,39.2,15,8.3
307,"Group 1 Automotive, Inc.",343,Earl J. Hesterberg,"800 Gessner Rd., Houston, TX 77024",www.group1auto.com,GPI,81.54,0.49,0.006,5/14/2015 15:59,,8919,0.193,114,0.138,3820,1035,1591,1.3,3,11,4.32,3.1,,2.9,15.7,46.8,7.9
308,Cognizant Technology Solutions Corporation,352,Francisco D'Souza,"500 Frank W. Burr Blvd., Teaneck, NJ 07666",www.cognizant.com,CTSH,63.82,1.97,0.0319,5/14/2015 16:00,,8843,0.204,1229,0.169,8209,6136,30735,13.9,15,20,4.03,17.2,22.9,34.4,36.7,41.1,24.4
309,"Sonic Automotive, Inc.",307,O. Bruton Smith,"4401 Colwick Rd., Charlotte, NC 28211",www.sonicautomotive.com,SAH,23.9,-0.07,-0.0029,5/14/2015 15:59,,8843,0.034,82,-0.084,3051,614,1180,0.9,2.7,13.3,1.53,,,-1,17.6,45.5,2.7
310,"Autoliv, Inc.",317,Jan Carlson,"1320 Pacific Dr., Auburn Hills, MI 48326",www.autoliv.com,ALV,121.68,1.56,0.013,5/14/2015 15:59,,8803,0.065,486,0.006,6983,3981,9468,5.5,7,12.2,5.07,-0.2,17.3,6.1,39.7,36.7,12.1
311,Hormel Foods Corporation,319,Jeffrey M. Ettinger,"1 Hormel Place, Austin, MN 55912",www.hormelfoods.com,HRL,56.7,0.73,0.013,5/14/2015 15:59,,8752,0.063,526,0.052,4916,3311,13006,6,10.7,15.9,1.95,4.8,13.4,11.4,47.1,26.1,15.4
312,"Motorola Solutions, Inc.",304,Gregory Q. Brown,"1303 E. Algonquin Rd., Schaumburg, IL 60196",www.motorolasolutions.com,MSI,59.8,0.55,0.0093,5/14/2015 15:59,,8696,,1099,0.247,11851,3659,16321,12.6,9.3,30,4.06,37.2,,4.3,23.5,31.7,4.1
