rank,company_name,previous_rank,ceo,address,website,ticker,stock_price,stock_net_change,stock_percent_yield,stock_date,description,revenue_millions,revenue_percentchange_previous_year,profit_millions,profit_percentchange_previous_year,total_assets_millions,total_shareholder_equity_millions,market_value_03312014_millions,profit_percentsales,profit_percentassets,profit_percentstockholder_equity,earnings_per_share,eps_percentchange_from_2012,eps_percentchange_5_year,eps_percentchange_10_year,total_return_investors,total_annualized_return_investors_5_year,total_annualized_return_investors_10_year
419,"CC Media Holdings, Inc.",407,Robert W. Pittman,"200 E. Basse Rd., San Antonio, TX 78209",www.clearchannel.com,,,,,,,6243,-0.001,-607,,15097,-8942,594.1,-9.7,-4,,-7.31,,,,92.1,23.6,
420,Anixter International Inc.,405,Robert J. Eck,"2301 Patriot Blvd., Glenview, IL 60026",www.anixter.com,AXE,71.52,0.36,0.0051,5/14/2015 16:02,,6227,-0.004,201,0.607,2861,1027,3305,3.2,7,19.5,6.04,63.7,3.6,18.2,40.4,27.8,16.6
421,"Dick’s Sporting Goods, Inc.",437,Edward W. Stack,"345 Court St., Coraopolis, PA 15108",www.dickssportinggoods.com,DKS,55.66,-0.27,-0.0048,5/14/2015 16:00,,6213,0.065,338,0.161,3072,1692,6763,5.4,11,20,2.69,16.5,,17.7,29,34.8,17.8
422,SanDisk Corporation,487,Sanjay Mehrotra,"951 SanDisk Dr., Milpitas, CA 95035",www.sandisk.com,SNDK,67,-0.2,-0.003,5/14/2015 16:00,,6170,0.221,1043,1.498,10489,6968,18309,16.9,9.9,15,4.34,155.3,,15.6,63.4,49.2,8.8
423,NCR Corporation,441,William R. Nuti,"3097 Satellite Blvd., Duluth, GA 30096",www.ncr.com,NCR,28.82,0.42,0.0148,5/14/2015 16:02,,6123,0.057,443,2.034,8108,1769,6092,7.2,5.5,25,2.62,194.4,14,24,33.7,19.2,14.3
424,"Starwood Hotels & Resorts Worldwide, Inc.",400,Frits D. van Paasschen,"1 StarPoint, Stamford, CT 06902",www.starwoodhotels.com,HOT,84.92,1.06,0.0126,5/14/2015 16:04,,6115,-0.033,635,0.13,8762,3360,15277,10.4,7.2,18.9,3.28,14.7,13.1,8.1,40.9,37.5,12.6
425,"Expeditors International of Washington, Inc.",428,Jeffrey S. Musser,"1015 Third Ave., Seattle, WA 98104",www.expeditors.com,EXPD,47.57,0.53,0.0112,5/14/2015 16:00,,6080,0.017,349,0.045,3015,2085,8031,5.7,11.6,16.7,1.68,7,4.2,11.6,13.5,7.2,9.9
426,"Fidelity National Information Services, Inc.",434,Frank R. Martire,"601 Riverside Ave., Jacksonville, FL 32204",www.fisglobal.com,FIS,64.55,0.69,0.0108,5/14/2015 16:01,,6071,0.031,493,0.069,13960,6581,15536,8.1,3.5,7.5,1.68,8.4,8.6,,57.2,28.7,
427,"United Natural Foods, Inc.",474,Steven L. Spinner,"313 Iron Horse Way, Providence, RI 02908",www.unfi.com,UNFI,68.01,1.18,0.0177,5/14/2015 16:00,,6064,0.158,108,0.181,1730,1099,3519,1.8,6.2,9.8,2.18,17.2,14,15.6,40.7,33.4,15.4
428,Auto-Owners Insurance Group,443,Jeffrey F. Harrold,"6101 Anacapri Blvd., Lansing, MI 48917",www.auto-owners.com,,,,,,,6062,0.055,579,0.33,18232,7511,,9.6,3.2,7.7,,,,,,,
429,"Windstream Holdings, Inc.",414,Jeffery R. Gardner,"4001 Rodney Parham Rd., Little Rock, AR 72212",www.windstream.com,WIN,8.36,-0.1,-0.0118,5/14/2015 16:00,,6005,-0.027,241,0.435,13445,840,4911,4,1.8,28.7,0.4,42.9,-15.5,,8,7.1,
430,"Dr Pepper Snapple Group, Inc.",427,Larry D. Young,"5301 Legacy Dr., Plano, TX 75024",www.drpeppersnapplegroup.com,DPS,77.66,0.65,0.0084,5/14/2015 16:01,,5997,,624,-0.008,8201,2277,10743,10.4,7.6,27.4,3.05,3,,,13.9,27.5,
431,Lennar Corporation,573,Stuart A. Miller,"700 N.W. 107th Ave., Miami, FL 33172",www.lennar.com,LEN,47.28,0.65,0.0139,5/14/2015 16:04,,5935,0.446,480,-0.294,11273,4169,8098,8.1,4.3,11.5,2.15,-30.9,,-7.4,2.7,36.7,-0.6
432,Sanmina,420,Jure Sola,"2700 N. First St., San Jose, CA 95134",www.sanmina.com,SANM,21.89,0.43,0.02,5/14/2015 16:00,,5917,-0.029,79,-0.56,2996,1092,1444,1.3,2.6,7.3,0.93,-56.9,,,50.9,42.7,-14
433,"Harley-Davidson, Inc.",449,Keith E. Wandell,"3700 W. Juneau Ave., Milwaukee, WI 53208",www.harley-davidson.com,HOG,54.61,-1.19,-0.0213,5/14/2015 16:02,,5900,0.057,734,0.176,9405,3010,14657,12.4,7.8,24.4,3.28,20.6,3.3,2.8,43.8,34.5,5.7
434,CONSOL Energy Inc.,463,Nicholas J. DeIuliis,"1000 Consol Energy Dr., Canonsburg, PA 15317",www.consolenergy.com,CNX,31.57,0.28,0.0089,5/14/2015 16:02,,5899,0.086,660,0.7,11394,5006,9155,11.2,5.8,13.2,2.87,68.8,3.6,,19.8,7.2,12.6
435,The J.M. Smucker Company,452,Richard K. Smucker,"1 Strawberry Lane, Orrville, OH 44667",www.smucker.com,SJM,118.36,1.78,0.0153,5/14/2015 16:04,,5898,0.067,544,0.184,9032,5149,10082,9.2,6,10.6,5,23.2,10.8,9.5,22.8,22.1,12.5
436,Newell Rubbermaid Inc.,433,Michael B. Polk,"3 Glenlake Pkwy., Atlanta, GA 30328",www.newellrubbermaid.com,NWL,40.02,0.48,0.0121,5/14/2015 16:02,,5887,-0.003,475,0.183,6070,2072,8339,8.1,7.8,22.9,1.63,19,,,48.7,29.8,6.6
437,"CH2M HILL Companies, Ltd.",415,Jacqueline C. Hinman,"9191 S. Jamaica St., Englewood, CO 80112",www.ch2m.com,,,,,,,5878,-0.046,118,0.273,3056,624,,2,3.9,19,3.96,34.2,33.6,18.3,,,
438,Energy Future Holdings Corp.,447,John F. Young,"1601 Bryan St., Dallas, TX 75201",www.energyfutureholdings.com,,,,,,,5850,0.038,-2587,,38690,-11656,,-44.2,-6.7,,,,,,,,
439,Susser Holdings Corporation,460,Sam L. Susser,"4525 Ayers St., Corpus Christi, TX 78415",www.susser.com,,,,,,,5831,0.066,14,-0.693,1375,416,1339,0.2,1,3.4,0.66,-69.9,-7.4,,89.9,37.6,
440,Laboratory Corporation of America Holdings,444,David P. King,"358 S. Main St., Burlington, NC 27215",www.labcorp.com,LH,117.69,1.13,0.0097,5/14/2015 16:02,,5808,0.024,574,-0.016,6966,2491,8377,9.9,8.2,23,6.25,4.3,8.5,10.9,5.5,7.2,9.5
441,"Kindred Healthcare, Inc.",410,Paul J. Diaz,"680 S. Fourth St., Louisville, KY 40202",www.kindredhealthcare.com,KND,22.46,-0.16,-0.0071,5/14/2015 16:06,,5794,-0.064,-169,,3946,1083,1267,-2.9,-4.3,-15.6,-3.23,,,,85.3,9,
442,Leidos Holdings Inc.,240,John P. Jumper,"11951 Freedom Dr., Reston, VA 20190",www.leidos.com,LDOS,40.99,0.5,0.0123,5/14/2015 16:02,,5788,-0.485,164,-0.688,4162,1595,2796,2.8,3.9,10.3,1.94,-68.5,-15.4,,64,-0.3,
443,Booz Allen Hamilton Holding Corp.,436,Ralph W. Shrader,"8283 Greensboro Dr., McLean, VA 22102",www.boozallen.com,BAH,28.23,0.62,0.0225,5/14/2015 16:03,,5758,-0.017,219,-0.087,3178,227,3178,3.8,6.9,96.6,1.45,-14.7,,,48.8,,
444,"The Jones Financial Companies,L.L.L.P.",491,James D. Weddle,"12555 Manchester Rd., Des Peres, MO 63131",www.edwardjones.com,,,,,,,5716,0.137,674,0.215,13795,2081,,11.8,4.9,32.4,,,,,,,
445,Cliffs Natural Resources Inc.,424,Gary B. Halverson,"200 Public Sq., Cleveland, OH 44114",www.cliffsnaturalresources.com,CLF,5.61,-0.25,-0.0427,5/14/2015 16:03,,5691,-0.055,414,,13122,6070,3132,7.3,3.2,6.8,2.37,,-13,,-30.2,2.8,17
446,"PulteGroup, Inc.",501,Richard J. Dugas Jr.,"100 Bloomfield Hills Pkwy., Bloomfield Hills, MI 48304",www.pultegroupinc.com,PHM,19.58,0.15,0.0077,5/14/2015 16:01,,5680,0.178,2620,11.71,8734,4649,7317,46.1,30,56.4,6.72,1144,,10.5,12.9,13.5,-1
447,Regions Financial Corporation,401,O.B Grayson Hall Jr.,"1900 Fifth Ave. N., Birmingham, AL 35203",www.regions.com,RF,10.19,-0.07,-0.0068,5/14/2015 16:02,,5665,-0.097,1122,0.002,117396,15768,15315,19.8,1,7.1,0.77,8.5,,-12.4,39.9,5.9,-7.9
448,NiSource Inc.,480,Robert C. Skaggs Jr.,"801 E. 86th Ave., Merrillville, IN 46410",www.nisource.com,NI,44.16,0.22,0.005,5/14/2015 16:02,,5660,0.109,532,0.279,22654,5887,11156,9.4,2.3,9,1.7,22.3,42.4,17.8,36.6,31.1,9.3
449,"Graybar Electric Company, Inc.",465,Kathleen M. Mazzarella,"34 N. Meramec Ave., St. Louis, MO 63105",www.graybar.com,,,,,,,5659,0.045,81,-0.061,1794,667,,1.4,4.5,12.2,5.09,-5.8,-3.6,25.7,,,
450,"Integrys Energy Group, Inc.",559,Charles A. Schrock,"130 E. Randolph St., Chicago, IL 60601",www.integrysgroup.com,TEG,71.48,0.89,0.0126,5/14/2015 16:01,,5636,0.335,352,0.25,11244,3261,4769,6.2,3.1,10.8,4.39,23.7,21.8,4.4,9.4,11.1,7.1
451,The Clorox Company,461,Donald R. Knauss,"1221 Broadway, Oakland, CA 94612",www.thecloroxcompany.com,CLX,108.47,1.28,0.0119,5/14/2015 16:02,,5623,0.028,572,0.057,4311,146,11433,10.2,13.3,391.8,4.3,5.1,5.8,6.8,30.7,14.6,9.7
452,"Wynn Resorts, Limited",478,Stephen A. Wynn,"3131 Las Vegas Blvd. S., Las Vegas, NV 89109",www.wynnresorts.com,WYNN,108.79,-2.18,-0.0196,5/14/2015 16:00,,5621,0.091,729,0.451,8377,-185,22484,13,8.7,,7.17,48.8,30.1,,80.8,44.9,26.8
453,"The Andersons, Inc.",472,Michael J. Anderson,"480 W. Dussel Dr., Maumee, OH 43537",www.andersonsinc.com,ANDE,45.09,3.16,0.0754,5/14/2015 16:00,,5605,0.063,90,0.132,2274,702,1681,1.6,4,12.8,3.18,12.8,21.7,19.6,110.3,42,28.7
454,"J.B. Hunt Transport Services, Inc.",486,John N. Roberts III,"615 J.B. Hunt Corporate Dr., Lowell, AR 72745",www.jbhunt.com,JBHT,87.75,1.94,0.0225,5/14/2015 16:00,,5585,0.105,342,0.103,2819,1013,8432,6.1,12.1,33.8,2.87,10.8,13,17.2,30.2,25.6,20.4
455,AK Steel Holding Corporation,430,James L. Wainscott,"9227 Centre Pointe Dr., West Chester, OH 45069",www.aksteel.com,AKS,5.77,0.01,0.0017,5/14/2015 16:00,,5570,-0.061,-47,,3606,-221,986.9,-0.8,-1.3,,-0.34,,,,78.3,-1.3,5.6
456,Harbinger Group Inc.,533,Philip A. Falcone,"450 Park Ave., New York, NY 10022",www.harbingergroupinc.com,HRG,12.39,0.06,0.0049,5/14/2015 16:03,,5543,0.237,-47.511,27909,725,1776,-0.8,-0.2,-13,-0.67,-546.7,,,,54.1,14.5,5
457,MeadWestvaco Corporation,448,John A. Luke Jr.,"501 S. Fifth St., Richmond, VA 23219",www.mwv.com,MWV,50.32,0.56,0.0113,5/14/2015 16:02,,5543,-0.009,839,3.093,10285,3944,6570,15.1,8.2,21.3,4.66,301.7,55.1,,19.2,35.1,7.2
458,The Western Union Company,445,Hikmet Ersek,"12500 E.Belford Ave., Englewood, CO 80112",www.westernunion.com,WU,21.96,0.09,0.0041,5/14/2015 16:00,,5542,-0.022,798,-0.222,10121,1105,8964,14.4,7.9,72.3,1.43,-15.4,2.9,,30.5,5.7,
459,The Charles Schwab Corporation,488,Walter W. Bettinger II,"211 Main St., San Francisco, CA 94105",www.aboutschwab.com,SCHW,31.81,0.11,0.0035,5/14/2015 16:03,,5539,0.097,1071,0.154,143642,10381,35489,19.3,0.7,10.3,0.78,13,-5.8,8.3,83.2,11.7,10
460,"Discovery Communications, Inc.",531,David M. Zaslav,"1 Discovery Place, Silver Spring, MD 20910",www.discoverycommunications.com,,,,,,,5535,0.234,1075,0.14,14979,6196,19361,19.4,7.2,17.3,2.97,19.8,24.8,,42.4,44.9,
461,Spectra Energy Corp,475,Gregory L. Ebel,"5400 Westheimer Court, Houston, TX 77056",www.spectraenergy.com,SE,36.41,0.14,0.0039,5/14/2015 16:04,,5518,0.066,1038,0.104,33533,8494,24756,18.8,3.1,12.2,1.55,8.4,-3.1,,35.2,23,
462,"St. Jude Medical, Inc.",457,Daniel J. Starks,"1 St. Jude Medical Dr., St. Paul, MN 55117",www.sjm.com,STJ,74.49,2.73,0.038,5/14/2015 16:02,,5501,,723,-0.039,10248,4231,18558,13.1,7.1,17.1,2.49,4.2,17.8,10.5,75,14.8,7.9
463,"CF Industries Holdings, Inc.",419,W. Anthony Will,"4 Pkwy. N., Deerfield, IL 60015",www.cfindustries.com,CF,304.29,-1.05,-0.0034,5/14/2015 16:02,,5475,-0.103,1465,-0.208,10678,5076,14456,26.8,13.7,28.9,24.74,-13.5,15.3,,15.9,37.5,
464,Con-way Inc.,450,Douglas W. Stotlar,"2211 Old Earhart Rd., Ann Arbor, MI 48105",www.con-way.com,CNW,41.38,-0.34,-0.0082,5/14/2015 16:03,,5473,-0.019,99,-0.052,3280,1139,2338,1.8,3,8.7,1.73,-6.5,4.3,1,44.2,9.7,2.7
465,Old Republic International Corporation,496,Aldo C. Zucaro,"307 N. Michigan Ave., Chicago, IL 60601",www.oldrepublic.com,ORI,15.31,0.07,0.0046,5/14/2015 16:01,,5443,0.095,448,,16534,3775,4271,8.2,2.7,11.9,1.57,,,-2.4,70.7,14.4,3.5
466,JetBlue Airways Corporation,495,David Barger,"27-01 Queens Plaza N., Long Island City, NY 11101",www.jetblue.com,JBLU,21.48,0.06,0.0028,5/14/2015 16:00,,5441,0.092,168,0.313,7350,2134,2569,3.1,2.3,7.9,0.52,30,,-2.2,49.3,3.8,-7
467,"Calumet Specialty Products Partners, L.P.",514,F. William Grube,"2780 Waterfront Pkwy. E. Dr., Indianapolis, IN 46214",www.calumetspecialty.com,CLMT,27.27,0.39,0.0145,5/14/2015 16:00,,5421,0.164,4,-0.983,2688,1063,1791,0.1,0.1,0.3,-0.17,-104.9,,,-6.9,37.2,
468,"Kelly Services, Inc.",462,Carl T. Camden,"999 W. Big Beaver Rd., Troy, MI 48084",www.kellyservices.com,KELYA,16.84,0.13,0.0078,5/14/2015 16:00,,5413,-0.007,59,0.176,1799,823,888,1.1,3.3,7.2,1.54,16.7,,27.1,60.1,14.6,-0.1
469,Domtar Corporation,458,John D. Williams,"100 Kingsley Park Dr., Fort Mill, SC 29715",www.domtar.com,UFS,45.12,1.56,0.0358,5/14/2015 16:02,,5391,-0.017,91,-0.471,6278,2782,3638,1.7,1.4,3.3,2.72,-42.9,,,15.8,38.2,
470,Murphy Oil Corporation,104,Roger W. Jenkins,"200 Peach St., El Dorado, AR 71730",www.murphyoilcorp.com,MUR,44.43,-0.34,-0.0076,5/14/2015 16:02,,5390,-0.813,1124,0.157,17510,8596,11279,20.8,6.4,13.1,5.94,19,-8.1,14.1,28.5,14.3,10.8
471,Harris Corporation,429,William M. Brown,"1025 W. NASA Blvd., Melbourne, FL 32919",www.harris.com,HRS,78.75,1.4,0.0181,5/14/2015 16:03,,5371,-0.099,113,2.693,4858,1561,7813,2.1,2.3,7.2,1.01,288.5,-20.9,8.4,46.8,16.8,16.4
472,"Asbury Automotive Group, Inc.",506,Craig T. Monaghan,"2905 Premiere Pkwy. N.W., Duluth, GA 30097",www.asburyauto.com,ABG,84.54,0,0,5/14/2015 16:05,,5339,0.123,109,0.327,1889,491,1706,2,5.8,22.2,3.51,34.5,,22.5,67.8,63.7,12.8
473,"Big Lots, Inc.",466,David Campisi,"300 Phillipi Rd., Columbus, OH 43228",www.biglots.com,BIG,46.06,-1.73,-0.0362,5/14/2015 16:02,,5302,-0.018,125,-0.293,1740,901,2202,2.4,7.2,13.9,2.16,-26.3,3.1,12.1,13.5,17.4,8.6
474,"Advanced Micro Devices, Inc.",464,Rory P. Read,"1 AMD Place, Sunnyvale, CA 94085",www.amd.com,AMD,2.33,-0.04,-0.0169,5/14/2015 16:14,,5299,-0.023,-83,,4337,544,3053,-1.6,-1.9,-15.3,-0.11,,,,61.3,12.4,-12.6
475,Owens Corning,476,Michael H. Thaman,"1 Owens Corning Pkwy., Toledo, OH 43659",www.owenscorning.com,OC,39.65,0.47,0.012,5/14/2015 16:05,,5295,0.024,204,,7647,3793,5087,3.9,2.7,5.4,1.71,,,,10.1,18.7,
476,Realogy Holdings Corp.,512,Richard A. Smith,"175 Park Ave., Madison, NJ 07940",www.realogy.com,RLGY,46.64,0.85,0.0186,5/14/2015 16:05,,5289,0.132,438,,7326,2010,6349,8.3,6,21.8,2.99,,,,17.9,,
477,"Host Hotels & Resorts, Inc.",469,W. Edward Walter,"6903 Rockledge Dr., Bethesda, MD 20817",www.hosthotels.com,HST,20.4,0.41,0.0205,5/14/2015 16:01,,5270,-0.01,317,4.197,12814,7228,15316,6,2.5,4.4,0.42,425,-11.2,,27.1,22.7,7.2
478,MRC Global Inc.,451,Andrew R. Lane,"909 Fannin St., Houston, TX 77010",www.mrcglobal.com,MRC,15.87,-0.75,-0.0451,5/14/2015 16:02,,5231,-0.061,152,0.289,3336,1338,2747,2.9,4.6,11.4,1.48,21.3,,,16.1,,
479,"Simon Property Group, Inc.",497,David Simon,"225 W. Washington St., Indianapolis, IN 46204",www.simon.com,SPG,184.76,3.42,0.0189,5/14/2015 16:03,,5170,0.059,1320,-0.08,33325,5849,51538,25.5,4,22.6,4.24,-10.2,17.8,9.9,-0.8,27.7,16.8
480,Tractor Supply Company,513,Gregory A. Sandfort,"200 Powell Place, Brentwood, TN 37027",www.tractorsupply.com,TSCO,87.66,1.43,0.0166,5/14/2015 16:00,,5165,0.107,328,0.187,1903,1247,9857,6.4,17.2,26.3,2.32,22.1,33.5,20.8,77,54.7,23.4
481,"Gannett Co., Inc.",467,Gracia C. Martore,"7950 Jones Branch Dr., McLean, VA 22107",www.gannett.com,GCI,35.59,0.75,0.0215,5/14/2015 16:04,,5161,-0.036,389,-0.084,9241,2693,6275,7.5,4.2,14.4,1.66,-7.3,,-9.4,70.2,34.7,-7.5
482,"Alaska Air Group, Inc.",515,Bradley D. Tilden,"19300 International Blvd., Seattle, WA 98188",www.alaskaair.com,ALK,66.13,1.42,0.0219,5/14/2015 16:03,,5156,0.107,508,0.608,5838,2029,6409,9.9,8.7,25,7.16,62.7,,39.6,71.3,38.2,18.4
483,"Insight Enterprises, Inc.",470,Kenneth T. Lamneck,"6820 S. Harl Ave., Tempe, AZ 85283",www.insight.com,NSIT,29.04,0.6,0.0211,5/14/2015 16:00,,5144,-0.03,71,-0.234,1868,717,1042,1.4,3.8,9.9,1.64,-20.8,,7.3,30.7,26.9,1.9
484,"McGraw Hill Financial, Inc.",390,Douglas L. Peterson,"1221 Ave. of the Americas, New York, NY 10020",www.mhfi.com,MHFI,105.8,0.83,0.0079,5/14/2015 16:02,,5143,-0.21,1376,2.149,6061,1301,20677,26.8,22.7,105.8,4.91,220.9,14.4,10.6,45.8,32,11.2
485,"Buckeye Partners, L.P.",544,Clark C. Smith,"1 Greenway Plaza, Houston, TX 77046",www.buckeye.com,BPL,80,-0.38,-0.0047,5/14/2015 16:01,,5110,0.173,160,-0.292,7006,3066,8647,3.1,2.3,5.2,1.49,-35.8,,,67,,
486,Quintiles Transnational Holdings Inc.,,Thomas H. Pike,"4820 Emperor Blvd., Durham, NC 27703",www.quintiles.com,Q,65.67,0.19,0.0029,5/14/2015 16:03,,5100,0.048,227,0.276,3067,-667,6592,4.4,7.4,,1.77,,,,,,
487,"American Financial Group, Inc.",485,"Carl H. Lindner lll, S. Craig Lindner","301 E. Fourth St., Cincinnati, OH 45202",www.afginc.com,AFG,64.14,0.57,0.009,5/14/2015 16:01,,5092,0.006,471,-0.035,42087,4599,5168,9.2,1.1,10.2,5.16,1.4,25.3,6.5,51.1,23.3,14.9
488,United Stationers Inc.,484,P. Cody Phipps,"1 Parkway N. Blvd., Deerfield, IL 60015",www.unitedstationers.com,USTR,40.56,0.52,0.013,5/14/2015 16:00,,5085,0.001,123,0.101,2116,826,1627,2.4,5.8,14.9,3.06,12.1,8.2,10.9,50.3,23.4,8.9
489,"Coach, Inc.",504,Victor Luis,"516 W. 34th St., New York, NY 10001",www.coach.com,COH,37.76,-0.37,-0.0097,5/14/2015 16:01,,5075,0.066,1034,-0.004,3532,2409,13784,20.4,29.3,42.9,3.61,2.3,10.7,24.8,3,23.7,12.3
490,LKQ Corporation,568,Robert L. Wagman,"500 W. Madison St., Chicago, IL 60661",www.lkqcorp.com,LKQ,27.82,-0.03,-0.0011,5/14/2015 16:00,,5063,0.228,312,0.193,4519,2351,7941,6.2,6.9,13.3,1.02,17.2,23.5,26.1,55.9,41.4,30.8
491,"Noble Energy, Inc.",535,Charles D. Davidson,"100 Noble Energy Way, Houston, TX 77070",www.nobleenergyinc.com,NBL,44.5,-0.78,-0.0172,5/14/2015 16:02,,5052,0.14,978,-0.048,19642,9184,25567,19.4,5,10.6,2.69,-5.8,-6.6,23,35.1,23.8,20.9
492,"Bemis Company, Inc.",479,Henry J. Theisen,"1 Neenah Center, Neenah, WI 54956",www.bemis.com,BMS,46.47,0.48,0.0104,5/14/2015 16:03,,5030,-0.021,213,0.223,4110,1685,3990,4.2,5.2,12.6,2.04,22.9,4.3,4.1,25.7,15.2,8.2
493,Joy Global Inc.,446,Edward L. Doheny II,"100 E. Wisconsin Ave., Milwaukee, WI 53202",www.joyglobal.com,JOY,43.38,0.18,0.0042,5/14/2015 16:04,,5013,-0.115,534,-0.3,5790,2858,5807,10.6,9.2,18.7,4.99,-30,7.7,40.7,-7.1,22.1,19
494,Wyndham Worldwide Corporation,528,Stephen P. Holmes,"22 Sylvan Way, Parsippany, NJ 07054",www.wyndhamworldwide.com,WYN,87.06,1.36,0.0159,5/14/2015 16:00,,5009,0.105,432,0.08,9741,1623,9383,8.6,4.4,26.6,3.21,16.7,,,41,65.3,
495,"NII Holdings, Inc.",421,Steven M. Shindler,"1875 Explorer St., Reston, VA 20190",www.nii.com,,,,,,,4978,-0.182,-1650,,8680,355,204.8,-33.1,-19,-464.2,-9.6,,,,-61.4,-31.5,-14
496,"Lorillard, Inc.",516,Murray S. Kessler,"714 Green Valley Rd., Greensboro, NC 27408",www.lorillard.com,LO,71.92,0.21,0.0029,5/14/2015 16:02,,4972,0.072,1180,0.074,3536,-2064,19588,23.7,33.4,,3.15,12.1,12.9,,37,28.5,
497,Alleghany Corporation,507,Weston M. Hicks,"7 Times Sq., New York, NY 10036",www.alleghany.com,Y,487.71,7.46,0.0155,5/14/2015 16:02,,4972,0.046,628,-0.105,23361,6924,6807,12.6,2.7,9.1,37.44,-17.7,20.4,7.3,19.2,8.5,7.7
498,"Airgas, Inc.",509,Michael L. Molinini,"259 N. Radnor-Chester Rd., Radnor, PA 19087",www.airgas.com,ARG,103,1.92,0.019,5/14/2015 16:03,,4958,0.045,341,0.088,5618,1537,7877,6.9,6.1,22.2,4.35,8.8,10.3,16.6,24.7,25.6,19.4
499,First American Financial Corporation,527,Dennis J. Gilmore,"1 First American Way, Santa Ana, CA 92707",www.firstam.com,FAF,35.51,0.44,0.0125,5/14/2015 16:01,,4956,0.091,186,-0.381,6521,2453,2818,3.8,2.9,7.6,1.71,-38.3,,,19.4,,
500,"United Rentals, Inc.",569,Michael J. Kneeland,"100 First Stamford Place, Stamford, CT 06902",www.ur.com,URI,103.05,-0.43,-0.0042,5/14/2015 16:03,,4955,0.204,387,4.16,11231,1828,8850,7.8,3.4,21.2,3.64,360.8,,,71.2,53.6,15
